water_year,water_year_start,water_year_end,station_code,station_name,variable,flow_m3s,unit,source_reference
1938/39,3838,3839,40800001,P. N. Paraopeba,annual maximum mean daily flow,576,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1939/40,3839,3840,40800001,P. N. Paraopeba,annual maximum mean daily flow,414,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1940/41,3840,3841,40800001,P. N. Paraopeba,annual maximum mean daily flow,472,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1941/42,3841,3842,40800001,P. N. Paraopeba,annual maximum mean daily flow,458,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1942/43,3842,3843,40800001,P. N. Paraopeba,annual maximum mean daily flow,684,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1943/44,3843,3844,40800001,P. N. Paraopeba,annual maximum mean daily flow,408,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1944/45,3844,3845,40800001,P. N. Paraopeba,annual maximum mean daily flow,371,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1945/46,3845,3846,40800001,P. N. Paraopeba,annual maximum mean daily flow,333,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1946/47,3846,3847,40800001,P. N. Paraopeba,annual maximum mean daily flow,570,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1947/48,3847,3848,40800001,P. N. Paraopeba,annual maximum mean daily flow,502,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1948/49,3848,3849,40800001,P. N. Paraopeba,annual maximum mean daily flow,810,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1949/50,3849,3850,40800001,P. N. Paraopeba,annual maximum mean daily flow,366,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
