water_year,water_year_start,water_year_end,station_code,station_name,variable,rainfall_mm,unit,source_reference
1941/42,3841,3842,19440004,P. N. Paraopeba,annual maximum daily rainfall,68.8,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1942/43,3842,3843,19440004,P. N. Paraopeba,annual maximum daily rainfall,,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1943/44,3843,3844,19440004,P. N. Paraopeba,annual maximum daily rainfall,,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1944/45,3844,3845,19440004,P. N. Paraopeba,annual maximum daily rainfall,67.3,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1945/46,3845,3846,19440004,P. N. Paraopeba,annual maximum daily rainfall,,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1946/47,3846,3847,19440004,P. N. Paraopeba,annual maximum daily rainfall,70.2,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1947/48,3847,3848,19440004,P. N. Paraopeba,annual maximum daily rainfall,113.2,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1948/49,3848,3849,19440004,P. N. Paraopeba,annual maximum daily rainfall,79.2,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1949/50,3849,3850,19440004,P. N. Paraopeba,annual maximum daily rainfall,61.2,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1950/51,3850,3851,19440004,P. N. Paraopeba,annual maximum daily rainfall,66.4,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1951/52,3851,3852,19440004,P. N. Paraopeba,annual maximum daily rainfall,65.1,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1952/53,3852,3853,19440004,P. N. Paraopeba,annual maximum daily rainfall,115.0,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1953/54,3853,3854,19440004,P. N. Paraopeba,annual maximum daily rainfall,67.3,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1954/55,3854,3855,19440004,P. N. Paraopeba,annual maximum daily rainfall,102.2,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1955/56,3855,3856,19440004,P. N. Paraopeba,annual maximum daily rainfall,54.4,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1956/57,3856,3857,19440004,P. N. Paraopeba,annual maximum daily rainfall,69.3,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1957/58,3857,3858,19440004,P. N. Paraopeba,annual maximum daily rainfall,54.3,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1958/59,3858,3859,19440004,P. N. Paraopeba,annual maximum daily rainfall,36.0,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1959/60,3859,3860,19440004,P. N. Paraopeba,annual maximum daily rainfall,64.2,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1960/61,3860,3861,19440004,P. N. Paraopeba,annual maximum daily rainfall,83.4,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1961/62,3861,3862,19440004,P. N. Paraopeba,annual maximum daily rainfall,64.2,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1962/63,3862,3863,19440004,P. N. Paraopeba,annual maximum daily rainfall,76.4,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1963/64,3863,3864,19440004,P. N. Paraopeba,annual maximum daily rainfall,159.4,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1964/65,3864,3865,19440004,P. N. Paraopeba,annual maximum daily rainfall,62.1,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1965/66,3865,3866,19440004,P. N. Paraopeba,annual maximum daily rainfall,78.3,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1966/67,3866,3867,19440004,P. N. Paraopeba,annual maximum daily rainfall,74.3,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1967/68,3867,3868,19440004,P. N. Paraopeba,annual maximum daily rainfall,41.0,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1968/69,3868,3869,19440004,P. N. Paraopeba,annual maximum daily rainfall,101.6,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1969/70,3869,3870,19440004,P. N. Paraopeba,annual maximum daily rainfall,85.6,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1970/71,3870,3871,19440004,P. N. Paraopeba,annual maximum daily rainfall,51.4,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1971/72,3871,3872,19440004,P. N. Paraopeba,annual maximum daily rainfall,70.3,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1972/73,3872,3873,19440004,P. N. Paraopeba,annual maximum daily rainfall,81.3,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1973/74,3873,3874,19440004,P. N. Paraopeba,annual maximum daily rainfall,85.3,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1974/75,3874,3875,19440004,P. N. Paraopeba,annual maximum daily rainfall,58.4,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1975/76,3875,3876,19440004,P. N. Paraopeba,annual maximum daily rainfall,66.3,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1976/77,3876,3877,19440004,P. N. Paraopeba,annual maximum daily rainfall,91.3,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1977/78,3877,3878,19440004,P. N. Paraopeba,annual maximum daily rainfall,72.8,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1978/79,3878,3879,19440004,P. N. Paraopeba,annual maximum daily rainfall,100.0,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1979/80,3879,3880,19440004,P. N. Paraopeba,annual maximum daily rainfall,78.4,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1980/81,3880,3881,19440004,P. N. Paraopeba,annual maximum daily rainfall,61.8,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1981/82,3881,3882,19440004,P. N. Paraopeba,annual maximum daily rainfall,83.4,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1982/83,3882,3883,19440004,P. N. Paraopeba,annual maximum daily rainfall,93.4,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1983/84,3883,3884,19440004,P. N. Paraopeba,annual maximum daily rainfall,99.0,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1984/85,3884,3885,19440004,P. N. Paraopeba,annual maximum daily rainfall,133.0,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1985/86,3885,3886,19440004,P. N. Paraopeba,annual maximum daily rainfall,101.0,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1986/87,3886,3887,19440004,P. N. Paraopeba,annual maximum daily rainfall,109.0,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1987/88,3887,3888,19440004,P. N. Paraopeba,annual maximum daily rainfall,88.0,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1988/89,3888,3889,19440004,P. N. Paraopeba,annual maximum daily rainfall,99.6,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1989/90,3889,3890,19440004,P. N. Paraopeba,annual maximum daily rainfall,74.0,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1990/91,3890,3891,19440004,P. N. Paraopeba,annual maximum daily rainfall,94.0,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1991/92,3891,3892,19440004,P. N. Paraopeba,annual maximum daily rainfall,99.2,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1992/93,3892,3893,19440004,P. N. Paraopeba,annual maximum daily rainfall,101.6,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1993/94,3893,3894,19440004,P. N. Paraopeba,annual maximum daily rainfall,76.6,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1994/95,3894,3895,19440004,P. N. Paraopeba,annual maximum daily rainfall,84.8,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1995/96,3895,3896,19440004,P. N. Paraopeba,annual maximum daily rainfall,114.4,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1996/97,3896,3897,19440004,P. N. Paraopeba,annual maximum daily rainfall,,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1997/98,3897,3898,19440004,P. N. Paraopeba,annual maximum daily rainfall,95.8,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1998/99,3898,3899,19440004,P. N. Paraopeba,annual maximum daily rainfall,65.4,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1999/00,3899,3900,19440004,P. N. Paraopeba,annual maximum daily rainfall,114.8,mm,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
