year,station_name,variable,flow_m3s,unit,source_reference
1938,Ponte Nova do Paraopeba,annual mean daily flow,104.3,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1939,Ponte Nova do Paraopeba,annual mean daily flow,97.9,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1940,Ponte Nova do Paraopeba,annual mean daily flow,89.2,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1941,Ponte Nova do Paraopeba,annual mean daily flow,92.7,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1942,Ponte Nova do Paraopeba,annual mean daily flow,98.0,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1943,Ponte Nova do Paraopeba,annual mean daily flow,141.7,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1944,Ponte Nova do Paraopeba,annual mean daily flow,81.1,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1945,Ponte Nova do Paraopeba,annual mean daily flow,97.3,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1946,Ponte Nova do Paraopeba,annual mean daily flow,72.0,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1947,Ponte Nova do Paraopeba,annual mean daily flow,93.9,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1948,Ponte Nova do Paraopeba,annual mean daily flow,83.8,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1949,Ponte Nova do Paraopeba,annual mean daily flow,122.8,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1950,Ponte Nova do Paraopeba,annual mean daily flow,87.6,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
1951,Ponte Nova do Paraopeba,annual mean daily flow,101.0,m3/s,"Naghettini (2017), Fundamentals of Statistical Hydrology; public PLU/FLU hydrological records used for teaching."
